Engine_speed,Vehicle_speed,Absolute_throttle_position,Calculated_LOAD_value,Acc_Longitudinal,Rate Speed,Rate Throttle,RT/RS,VS/ES
726,0,13.7,30.6,0.1,0,0.4,0,0
685,0,13.7,31.8,0.1,0,0,0,0
675,0,13.3,29,0.1,0,0.4,0,0
716,0,13.7,30.2,0.1,0,0.4,0,0
740,0,13.7,31.4,0,0,0,0,0
682,0,13.7,31.8,0,0,0,0,0
670,0,14.5,41.2,0,0,0.8,0,0
655,0,14.5,49,0,0,0,0,0
648,0,14.9,54.1,-0.1,0,0.4,0,0
659,0,15.3,58,-0.2,0,0.4,0,0
663,0,14.9,58,-0.1,0,0.4,0,0
659,0,14.9,55.7,0,0,0,0,0
766,3,14.9,55.3,-0.1,3,0,0,0.14241633
767,4,16.1,59.2,-0.1,1,1.2,2.005763689,0.189640868
658,0,15.7,58.8,0,4,0.4,0.167146974,0
658,0,15.7,58.8,-0.2,0,0,0,0
673,0,15.7,58.8,-0.1,0,0,0,0
726,0,16.1,58.8,-0.1,0,0.4,0,0
1064,5,15.7,58.4,0,5,0.4,0.133717579,0.17088175
1466,17,15.7,58.4,0,12,0,0,0.421679276
1306,21,16.1,58.8,0,4,0.4,0.167146974,0.584713908
1262,21,16.1,59.6,0.1,0,0,0,0.60510013
1897,23,15.7,59.6,0.6,2,0.4,0.334293948,0.440887526
1813,23,15.3,58,0.3,0,0.4,0,0.461314747
1960,21,14.1,54.1,0,2,1.2,1.002881844,0.38961039
687,0,14.1,46.3,0,21,0,0,0
682,0,14.5,46.7,0,0,0.4,0,0
678,0,15.3,56.9,0.4,0,0.8,0,0
678,0,15.3,58.4,0.3,0,0,0,0
673,0,15.3,58.8,0.1,0,0,0,0
755,0,15.7,58,0,0,0.4,0,0
689,0,15.7,57.6,0.1,0,0,0,0
680,0,16.1,59.2,0,0,0.4,0,0
679,0,16.1,58.8,0.2,0,0,0,0
678,0,16.1,54.5,-0.1,0,0,0,0
676,0,15.7,49.8,0.3,0,0.4,0,0
673,0,15.3,47.5,-0.1,0,0.4,0,0
671,0,16.1,52.9,0.2,0,0.8,0,0
672,0,16.1,51.8,0.2,0,0,0,0
671,0,16.1,49,0,0,0,0,0
671,0,18,56.1,0.4,0,1.9,0,0
671,0,18,51.4,0.4,0,0,0,0
671,0,18,45.1,0.4,0,0,0,0
672,0,15.7,31.8,0,0,2.3,0,0
670,0,15.7,34.5,-0.1,0,0,0,0
670,0,19.2,52.2,0.4,0,3.5,0,0
668,0,20.8,55.3,0.7,0,1.6,0,0
669,0,21.2,63.9,0.7,0,0.4,0,0
669,0,18,43.5,0.2,0,3.2,0,0
670,0,16.1,31,-0.1,0,1.9,0,0
670,0,15.3,26.7,-0.4,0,0.8,0,0
669,0,19.2,47.5,0.2,0,3.9,0,0
666,0,25.1,70.2,1,0,5.9,0,0
667,0,19.6,45.1,0.4,0,5.5,0,0
667,0,15.7,31,-0.2,0,3.9,0,0
668,0,15.7,33.7,-0.2,0,0,0,0
666,0,15.7,32.9,-0.2,0,0,0,0
668,0,15.3,32.9,-0.2,0,0.4,0,0
670,0,15.3,33.7,-0.2,0,0,0,0
669,0,15.3,35.3,-0.3,0,0,0,0
670,0,16.5,42,-0.2,0,1.2,0,0
670,0,21.6,67.1,0.2,0,5.1,0,0
672,0,47.1,89.4,0.7,0,25.5,0,0
669,0,83.5,92.9,1,0,36.4,0,0
670,0,83.9,92.9,1.1,0,0.4,0,0
668,0,83.9,93.3,1.1,0,0,0,0
669,0,83.9,94.5,1.1,0,0,0,0
668,0,83.9,93.3,1.1,0,0,0,0
668,0,83.9,91,1.1,0,0,0,0
667,0,81.6,89.4,1.1,0,2.3,0,0
669,0,25.5,58.8,0.6,0,56.1,0,0
671,0,16.9,34.1,0,0,8.6,0,0
669,0,17.6,39.6,0.1,0,0.7,0,0
668,0,18,41.6,0.1,0,0.4,0,0
669,0,20,51.4,0.3,0,2,0,0
669,0,29.8,80.4,0.7,0,9.8,0,0
669,0,66.7,88.2,1,0,36.9,0,0
668,0,16.1,27.8,-0.2,0,50.6,0,0
671,0,19.6,57.6,-0.7,0,3.5,0,0
669,0,17.6,53.7,-0.6,0,2,0,0
669,0,26.3,77.6,0.6,0,8.7,0,0
671,0,65.9,91.8,1,0,39.6,0,0
668,0,19.6,53.3,0.4,0,46.3,0,0
672,0,44.7,83.9,0.9,0,25.1,0,0
670,0,40,69,0.8,0,4.7,0,0
671,0,18.4,47.5,0.3,0,21.6,0,0
670,0,40.8,86.3,0.9,0,22.4,0,0
670,0,82.7,94.1,1.1,0,41.9,0,0
670,0,83.9,94.5,1.3,0,1.2,0,0
670,0,83.9,93.7,1.2,0,0,0,0
672,0,42,65.9,0.8,0,41.9,0,0
841,11,16.5,36.5,0.1,11,25.5,3.874770762,0.475624257
1472,28,16.5,38.8,0,17,0,0,0.691699605
1727,28,16.1,42,-0.1,0,0.4,0,0.589566774
1910,28,16.1,50.6,-0.8,0,0,0,0.533079486
1832,38,19.6,67.8,0.1,10,3.5,0.585014409,0.754267566
1842,38,68.6,92.5,1.8,0,49,0,0.750172737
1856,38,83.9,91,2.2,0,15.3,0,0.744514107
1858,38,83.9,92.9,2.3,0,0,0,0.743712692
1823,38,77.3,85.9,2.3,0,6.6,0,0.757991323
1527,32,20.8,41.6,0.8,6,56.5,15.73967339,0.762040841
1575,32,14.9,23.9,-0.1,0,5.9,0,0.738816739
678,0,15.3,34.5,-0.2,32,0.4,0.020893372,0
672,0,16.1,47.5,-1.5,0,0.8,0,0
668,0,15.7,56.1,-0.3,0,0.4,0,0
667,0,16.9,60.4,0.5,0,1.2,0,0
667,0,17.3,55.3,1.1,0,0.4,0,0
670,0,18.8,61.6,0.9,0,1.5,0,0
